year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g59bnm72058,ca,43.0,26844.0,white,black,financial services remarketing (lease),20500,21000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,335i,Sedan,automatic,wbapm5c52bf181994,ca,36.0,34391.0,black,black,financial services remarketing (lease),23000,20500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g53bnm77885,ca,42.0,42886.0,white,beige,financial services remarketing (lease),18050,18000,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Volvo,S60,T5,Sedan,automatic,yv1622fs7c2099430,ca,43.0,36438.0,blue,beige,fiserv/usb dealer services northstar exchange,15950,16000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Volkswagen,Beetle,2.0T White Turbo Launch Edition PZEV,Hatchback,automatic,3vwva7at3cm642151,ca,1.0,28750.0,white,black,vw credit,13500,11200,Tue Jan 13 2015 13:00:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph7c59be852762,ca,44.0,24382.0,black,black,financial services remarketing (lease),20800,23000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Audi,Q7,TDI Premium quattro,SUV,automatic,wa1lmafe5bd003010,ca,38.0,79245.0,black,—,fiserv/usb dealer services northstar exchange,28200,28500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g51bnm84561,ca,46.0,42173.0,black,red,financial services remarketing (lease),18400,19500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Audi,S5,3.0T Premium Plus quattro,Convertible,automatic,wauvgafh6bn011740,ca,26.0,35177.0,gray,black,fiserv/usb dealer services northstar exchange,31900,29750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,335is,Convertible,automatic,wbadx1c51be394492,ca,38.0,49765.0,white,red,ubs wholesale,29900,29000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Toyota,Highlander Hybrid,Limited,SUV,automatic,jtedc3eh6c2006592,ca,44.0,83985.0,gray,black,la costa auto sales,26400,26000,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdp7aj7cm304616,ca,1.0,29802.0,gray,black,vw credit,10200,8400,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdp7aj7cm346185,ca,1.0,18083.0,—,gray,vw credit,10850,9500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Coupe,automatic,wbake5c54be755489,ca,27.0,30517.0,black,black,financial services remarketing (lease),20500,19750,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2011,Audi,Q5,2.0T Premium quattro,SUV,automatic,wa1lfafp1ba010565,ca,48.0,39717.0,white,black,richard j bartlett jr enterprises,25500,28500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Volkswagen,CC,Lux Limited PZEV,Sedan,automatic,wvwhp7an0ce531482,ca,37.0,26245.0,black,black,mckenna volks,16550,16500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,BMW,5 Series,550i,Sedan,automatic,wbafr9c51bde81867,ca,21.0,58778.0,white,black,remarketing by ge/manheim riverside,27900,26250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,335d,Sedan,automatic,wbapn7c53bf184265,ca,41.0,42405.0,black,black,financial services remarketing (lease),21800,25750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g56bnn59299,ca,43.0,39120.0,blue,gray,financial services remarketing (lease),18800,19500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Toyota,Camry,SE,Sedan,automatic,4t1bk1fkxcu517509,ca,44.0,27262.0,—,black,toyota financial services,16900,18200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c59bf093111,ca,39.0,22843.0,white,gray,financial services remarketing (lease),21000,22250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g50bnm82784,ca,43.0,36808.0,blue,gray,financial services remarketing (lease),19500,17900,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c51ba447104,ca,37.0,20363.0,gray,black,financial services remarketing (lease),20400,19500,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
